model,fold,roc_auc,train_rows,validation_rows
extra_trees,1,0.5450044847951778,2018,2437
extra_trees,2,0.5338970762310606,4455,3152
extra_trees,3,0.5376393768750701,7607,2896
extra_trees,4,0.5515140871572293,10503,2078
extra_trees,5,0.5346978209225841,12581,1419
hist_gradient_boosting,1,0.5349714637824837,2018,2437
hist_gradient_boosting,2,0.5396358605587122,4455,3152
hist_gradient_boosting,3,0.5552012642184466,7607,2896
hist_gradient_boosting,4,0.5879132274601303,10503,2078
hist_gradient_boosting,5,0.5882202105625369,12581,1419
